t_seconds,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050
11.6417,794,3096,4385,6,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1827,2858,6,0,6,284,12,943,-30,0
11.7360,794,3096,4385,101,13,2049,11,13,12,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1939,3078,6,0,6,293,13,1048,-29,0
11.8302,794,3096,4385,196,13,2049,11,12,13,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1832,2832,6,0,6,298,12,1024,-86,0
11.9252,794,3096,4385,291,13,2049,11,13,13,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1927,2934,6,0,6,310,13,1074,-49,0
12.0194,794,3096,4385,381,13,2049,11,12,14,15,0,0,0,0,0,0,2417,0,0,0,0,0,0,1830,2899,6,0,6,306,12,1037,-138,0
12.1137,794,3096,4385,476,13,2049,11,13,12,16,0,0,0,0,0,0,2436,0,0,0,0,0,0,1881,2996,6,0,6,296,12,1023,-26,0
12.2080,794,3096,4385,571,13,2049,11,13,13,14,0,0,0,0,0,0,2455,0,0,0,0,0,0,1873,2983,6,0,6,306,12,1011,54,0
12.3023,794,3096,4385,661,13,2049,11,13,13,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1927,3048,6,0,6,300,13,1038,87,0
12.3968,794,3096,4385,756,13,2049,11,12,13,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1852,3050,6,0,6,298,12,982,82,0
12.4914,794,3096,4385,851,13,2049,11,12,13,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1852,3050,6,0,6,298,12,982,82,0
12.5857,794,3096,4385,946,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1800,3059,6,0,6,301,12,1029,-68,0
12.6801,794,3096,4641,41,13,2049,11,13,13,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1914,3168,6,0,6,304,12,1076,-70,0
12.7743,794,3096,4641,136,13,2049,11,12,13,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1875,3038,6,0,6,304,12,1038,-34,0
12.8686,794,3096,4641,231,13,2049,11,13,13,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1919,3065,6,0,6,308,12,1047,11,0
12.9629,794,3096,4641,321,13,2049,11,13,13,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1885,3092,6,0,6,297,12,1097,-12,0
13.0604,794,3096,4641,416,13,2049,11,13,11,13,0,0,0,0,0,0,2443,0,0,0,0,0,0,1848,2949,6,0,6,293,12,1048,30,0
13.1551,794,3096,4641,511,13,2049,11,13,12,13,0,0,0,0,0,0,2443,0,0,0,0,0,0,1902,3025,6,0,6,290,13,1042,-18,0
13.2495,794,3096,4641,606,13,2049,11,12,13,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1861,2861,6,0,6,290,12,969,-51,0
13.3438,794,3096,4641,701,13,2049,11,13,13,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1874,3133,6,0,7,291,13,1054,-47,0
13.4382,794,3096,4641,796,13,2049,11,13,13,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1871,3098,6,0,6,287,12,998,53,0
13.5326,794,3096,4641,891,13,2049,11,12,13,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1812,2957,6,0,6,278,12,907,48,0
13.6269,794,3096,4641,986,13,2049,11,12,12,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1845,2953,6,0,6,290,12,934,8,0
13.7214,794,3096,4897,81,13,2049,11,12,11,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1852,3075,6,0,6,287,12,967,86,0
13.8160,794,3096,4897,171,13,2049,11,12,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1825,2986,6,0,6,284,12,946,64,0
13.9106,794,3096,4897,266,13,2049,11,13,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1868,3120,6,0,6,294,12,1049,53,0
14.0051,794,3096,4897,361,13,2049,11,13,11,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1887,3016,6,0,6,295,12,1018,127,0
14.0992,794,3096,4897,456,13,2049,11,12,13,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1812,2978,6,0,6,301,12,1009,-68,0
14.1936,794,3096,4897,546,13,2049,11,12,12,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1807,2906,6,0,6,309,12,966,-9,0
14.2879,794,3096,4897,641,13,2049,11,12,12,14,0,0,0,0,0,0,2430,0,0,0,0,0,0,1879,2940,6,0,6,305,12,1002,5,0
14.3822,794,3096,4897,736,13,2049,11,12,12,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1844,3087,6,0,6,295,12,963,-61,0
14.4766,794,3096,4897,831,13,2049,11,12,12,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1844,3087,6,0,6,295,12,963,-61,0
14.5709,794,3096,4897,926,13,2049,11,12,12,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1814,2959,6,0,6,301,12,981,-122,0
14.6652,794,3096,5153,21,13,2049,11,11,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1821,2871,6,0,6,294,12,942,50,0
14.7597,794,3096,5153,116,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1894,2885,6,0,6,303,12,1001,44,0
14.8540,794,3096,5153,211,13,2049,11,13,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1898,2920,6,0,6,310,12,1037,-68,0
14.9485,794,3096,5153,301,13,2049,11,12,13,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1814,2754,6,0,6,305,12,943,1,0
15.0429,794,3096,5153,396,13,2049,11,13,13,12,0,0,0,0,0,0,2443,0,0,0,0,0,0,1847,3044,6,0,6,305,12,1047,-130,0
15.1373,794,3096,5153,491,13,2049,11,12,12,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1845,3057,6,0,6,295,12,986,-139,0
15.2316,794,3096,5153,586,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1871,3014,6,0,6,302,12,987,-67,0
15.3264,794,3096,5153,676,13,2049,11,12,12,11,0,0,0,0,0,0,2455,0,0,0,0,0,0,1879,3014,6,0,6,303,13,979,8,0
15.4208,794,3096,5153,771,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1888,3024,6,0,6,306,12,989,96,0
15.5157,794,3096,5153,866,13,2049,11,12,13,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1899,3020,6,0,6,296,13,988,113,0
15.6103,794,3096,5153,961,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1915,3072,6,0,6,301,13,1004,89,0
15.7033,794,3096,5409,56,13,2049,11,12,11,12,0,0,0,0,0,0,2462,0,0,0,0,0,0,1849,3113,6,0,6,304,12,1039,33,0
15.7977,794,3096,5409,151,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1813,2996,6,0,6,297,12,982,31,0
